[09:02:27] BLOCK #000001 | SUPPLY: 699,999,731.12 HUMA
[09:20:51] BLOCK #000368 | SUPPLY: 699,904,470.33 HUMA
[09:20:54] BLOCK #000369 | SUPPLY: 699,904,241.94 HUMA
[09:20:57] BLOCK #000370 | SUPPLY: 699,903,936.73 HUMA
[09:21:00] BLOCK #000371 | SUPPLY: 699,903,466.62 HUMA
[09:21:03] BLOCK #000372 | SUPPLY: 699,903,230.12 HUMA
[09:21:06] BLOCK #000373 | SUPPLY: 699,902,821.99 HUMA
[09:21:09] BLOCK #000374 | SUPPLY: 699,902,631.54 HUMA
[09:21:12] BLOCK #000375 | SUPPLY: 699,902,293.02 HUMA
[09:21:15] BLOCK #000376 | SUPPLY: 699,901,794.30 HUMA
[09:21:18] BLOCK #000377 | SUPPLY: 699,901,566.40 HUMA
[09:21:21] BLOCK #000378 | SUPPLY: 699,901,098.24 HUMA
[09:21:24] BLOCK #000379 | SUPPLY: 699,900,830.82 HUMA
[09:21:27] BLOCK #000380 | SUPPLY: 699,900,354.04 HUMA
[09:21:30] BLOCK #000381 | SUPPLY: 699,900,036.23 HUMA
[09:21:33] BLOCK #000382 | SUPPLY: 699,899,985.54 HUMA
[09:21:36] BLOCK #000383 | SUPPLY: 699,899,956.98 HUMA
[09:21:39] BLOCK #000384 | SUPPLY: 699,899,600.90 HUMA
[09:21:42] BLOCK #000385 | SUPPLY: 699,899,412.40 HUMA
[09:21:45] BLOCK #000386 | SUPPLY: 699,898,937.33 HUMA
[09:21:48] BLOCK #000387 | SUPPLY: 699,898,703.61 HUMA
[09:21:51] BLOCK #000388 | SUPPLY: 699,898,675.51 HUMA
[09:21:54] BLOCK #000389 | SUPPLY: 699,898,630.47 HUMA
[09:21:57] BLOCK #000390 | SUPPLY: 699,898,179.62 HUMA
[09:22:00] BLOCK #000391 | SUPPLY: 699,897,747.36 HUMA
[09:22:03] BLOCK #000392 | SUPPLY: 699,897,495.93 HUMA
[09:22:06] BLOCK #000393 | SUPPLY: 699,897,096.80 HUMA
[09:22:09] BLOCK #000394 | SUPPLY: 699,897,041.61 HUMA
[09:22:12] BLOCK #000395 | SUPPLY: 699,896,861.92 HUMA
[09:22:15] BLOCK #000396 | SUPPLY: 699,896,369.69 HUMA
[09:22:18] BLOCK #000397 | SUPPLY: 699,895,907.95 HUMA
[09:22:21] BLOCK #000398 | SUPPLY: 699,895,478.83 HUMA
[09:22:24] BLOCK #000399 | SUPPLY: 699,895,388.43 HUMA
[09:22:27] BLOCK #000400 | SUPPLY: 699,895,089.41 HUMA
[09:22:30] BLOCK #000401 | SUPPLY: 699,894,641.30 HUMA
[09:22:33] BLOCK #000402 | SUPPLY: 699,894,368.37 HUMA
[09:22:36] BLOCK #000403 | SUPPLY: 699,894,188.99 HUMA
[09:22:40] BLOCK #000404 | SUPPLY: 699,893,714.42 HUMA
[09:22:43] BLOCK #000405 | SUPPLY: 699,893,556.51 HUMA
[09:22:46] BLOCK #000406 | SUPPLY: 699,893,427.20 HUMA
[09:22:49] BLOCK #000407 | SUPPLY: 699,893,383.89 HUMA
[09:22:52] BLOCK #000408 | SUPPLY: 699,893,106.19 HUMA
[09:22:55] BLOCK #000409 | SUPPLY: 699,892,701.57 HUMA
[09:22:58] BLOCK #000410 | SUPPLY: 699,892,331.07 HUMA
[09:23:01] BLOCK #000411 | SUPPLY: 699,892,175.25 HUMA
[09:23:04] BLOCK #000412 | SUPPLY: 699,892,035.55 HUMA
[09:23:07] BLOCK #000413 | SUPPLY: 699,891,703.07 HUMA
[09:23:10] BLOCK #000414 | SUPPLY: 699,891,601.30 HUMA
[09:23:13] BLOCK #000415 | SUPPLY: 699,891,403.15 HUMA
[09:23:16] BLOCK #000416 | SUPPLY: 699,891,093.21 HUMA
[09:23:19] BLOCK #000417 | SUPPLY: 699,891,053.45 HUMA
[09:23:22] BLOCK #000418 | SUPPLY: 699,890,660.64 HUMA
[09:23:25] BLOCK #000419 | SUPPLY: 699,890,197.21 HUMA
[09:23:28] BLOCK #000420 | SUPPLY: 699,889,702.29 HUMA
[09:23:31] BLOCK #000421 | SUPPLY: 699,889,250.89 HUMA
[09:23:34] BLOCK #000422 | SUPPLY: 699,889,162.96 HUMA
[09:23:37] BLOCK #000423 | SUPPLY: 699,888,953.32 HUMA
[09:23:40] BLOCK #000424 | SUPPLY: 699,888,744.65 HUMA
[09:23:43] BLOCK #000425 | SUPPLY: 699,888,268.71 HUMA
[09:23:46] BLOCK #000426 | SUPPLY: 699,888,157.57 HUMA
[09:23:49] BLOCK #000427 | SUPPLY: 699,887,868.50 HUMA
[09:23:52] BLOCK #000428 | SUPPLY: 699,887,735.27 HUMA
